"job_id","company_name","job_title","job_location","salary_year_avg","skills"
40145,"Selby Jennings","Staff Data Scientist/Quant Researcher","Anywhere","550000.0","sql"
40145,"Selby Jennings","Staff Data Scientist/Quant Researcher","Anywhere","550000.0","python"
1714768,"Selby Jennings","Staff Data Scientist - Business Analytics","Anywhere","525000.0","sql"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","cassandra"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","java"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","sql"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","python"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","tableau"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","hadoop"
1131472,"Algo Capital Group","Data Scientist","Anywhere","375000.0","spark"
377672,"Mercury","Head of Data","Toronto, ON, Canada","350000.0","react"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","azure"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","databricks"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","aws"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","pandas"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","pyspark"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","jupyter"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","excel"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","tableau"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","power bi"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","powerpoint"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","sql"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","r"
552322,"AT&T","Associate Director- Data Insights","Anywhere","255829.5","python"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","232423.0","sql"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","232423.0","r"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","232423.0","hadoop"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","232423.0","tableau"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","232423.0","python"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","217000.0","tableau"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","217000.0","oracle"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","217000.0","crystal"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","217000.0","sql"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","217000.0","flow"
